0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,label
1280,-16200,-2608,1256,-16704,-2728,1176,-16648,-2704,1328,-16588,-2524,-1856,-16248,-2912,-360,-17784,-2780,968,-18052,-1876,2756,-21764,-6356,152,-13988,-2392,2164,-16760,-5140,2260,-15384,-2488,-484,-16652,364,5836,-18512,-1788,6028,-15524,-2304,3048,-15320,-1888,6324,-18412,-2940,2728,-17368,-1508,4032,-14768,-3552,448,-18212,-248,2040,-16732,432,2964,-16852,-1160,7344,-15336,-60,7540,-15880,-3304,5412,-17628,-4284,5724,-15228,640,normal
-360,-17784,-2780,968,-18052,-1876,2756,-21764,-6356,152,-13988,-2392,2164,-16760,-5140,2260,-15384,-2488,-484,-16652,364,5836,-18512,-1788,6028,-15524,-2304,3048,-15320,-1888,6324,-18412,-2940,2728,-17368,-1508,4032,-14768,-3552,448,-18212,-248,2040,-16732,432,2964,-16852,-1160,7344,-15336,-60,7540,-15880,-3304,5412,-17628,-4284,5724,-15228,640,4932,-16908,-3112,3048,-16412,-4084,3128,-17552,-3284,-1704,-16916,-700,-1748,-14532,644,normal
2260,-15384,-2488,-484,-16652,364,5836,-18512,-1788,6028,-15524,-2304,3048,-15320,-1888,6324,-18412,-2940,2728,-17368,-1508,4032,-14768,-3552,448,-18212,-248,2040,-16732,432,2964,-16852,-1160,7344,-15336,-60,7540,-15880,-3304,5412,-17628,-4284,5724,-15228,640,4932,-16908,-3112,3048,-16412,-4084,3128,-17552,-3284,-1704,-16916,-700,-1748,-14532,644,1132,-16120,-2016,3324,-16452,-2048,2064,-15712,-2004,-1004,-16272,-2216,1900,-18144,-3476,normal
6324,-18412,-2940,2728,-17368,-1508,4032,-14768,-3552,448,-18212,-248,2040,-16732,432,2964,-16852,-1160,7344,-15336,-60,7540,-15880,-3304,5412,-17628,-4284,5724,-15228,640,4932,-16908,-3112,3048,-16412,-4084,3128,-17552,-3284,-1704,-16916,-700,-1748,-14532,644,1132,-16120,-2016,3324,-16452,-2048,2064,-15712,-2004,-1004,-16272,-2216,1900,-18144,-3476,-1388,-17296,-4184,876,-16196,-4312,4396,-15952,-2152,6296,-14908,-1344,2936,-17544,-2836,normal
2964,-16852,-1160,7344,-15336,-60,7540,-15880,-3304,5412,-17628,-4284,5724,-15228,640,4932,-16908,-3112,3048,-16412,-4084,3128,-17552,-3284,-1704,-16916,-700,-1748,-14532,644,1132,-16120,-2016,3324,-16452,-2048,2064,-15712,-2004,-1004,-16272,-2216,1900,-18144,-3476,-1388,-17296,-4184,876,-16196,-4312,4396,-15952,-2152,6296,-14908,-1344,2936,-17544,-2836,2408,-19120,-6676,712,-16816,-1628,1656,-15096,-1660,3524,-16740,-4480,2608,-15228,-4056,normal
4932,-16908,-3112,3048,-16412,-4084,3128,-17552,-3284,-1704,-16916,-700,-1748,-14532,644,1132,-16120,-2016,3324,-16452,-2048,2064,-15712,-2004,-1004,-16272,-2216,1900,-18144,-3476,-1388,-17296,-4184,876,-16196,-4312,4396,-15952,-2152,6296,-14908,-1344,2936,-17544,-2836,2408,-19120,-6676,712,-16816,-1628,1656,-15096,-1660,3524,-16740,-4480,2608,-15228,-4056,2100,-16080,-1432,3248,-17440,-5380,1884,-15772,-5636,2752,-17464,-5824,3676,-15892,-3272,normal
1132,-16120,-2016,3324,-16452,-2048,2064,-15712,-2004,-1004,-16272,-2216,1900,-18144,-3476,-1388,-17296,-4184,876,-16196,-4312,4396,-15952,-2152,6296,-14908,-1344,2936,-17544,-2836,2408,-19120,-6676,712,-16816,-1628,1656,-15096,-1660,3524,-16740,-4480,2608,-15228,-4056,2100,-16080,-1432,3248,-17440,-5380,1884,-15772,-5636,2752,-17464,-5824,3676,-15892,-3272,5572,-15388,-4160,6972,-15308,-4240,2496,-16824,-5560,1308,-16660,-3368,672,-16684,-2360,normal
-1388,-17296,-4184,876,-16196,-4312,4396,-15952,-2152,6296,-14908,-1344,2936,-17544,-2836,2408,-19120,-6676,712,-16816,-1628,1656,-15096,-1660,3524,-16740,-4480,2608,-15228,-4056,2100,-16080,-1432,3248,-17440,-5380,1884,-15772,-5636,2752,-17464,-5824,3676,-15892,-3272,5572,-15388,-4160,6972,-15308,-4240,2496,-16824,-5560,1308,-16660,-3368,672,-16684,-2360,1012,-16800,-1864,2132,-16224,-3544,1924,-15836,-4172,1712,-18460,-3916,672,-15912,-3300,normal
2408,-19120,-6676,712,-16816,-1628,1656,-15096,-1660,3524,-16740,-4480,2608,-15228,-4056,2100,-16080,-1432,3248,-17440,-5380,1884,-15772,-5636,2752,-17464,-5824,3676,-15892,-3272,5572,-15388,-4160,6972,-15308,-4240,2496,-16824,-5560,1308,-16660,-3368,672,-16684,-2360,1012,-16800,-1864,2132,-16224,-3544,1924,-15836,-4172,1712,-18460,-3916,672,-15912,-3300,1208,-16132,-4420,1048,-20316,-4932,3804,-17068,364,1516,-14188,672,-788,-18416,2208,normal
2100,-16080,-1432,3248,-17440,-5380,1884,-15772,-5636,2752,-17464,-5824,3676,-15892,-3272,5572,-15388,-4160,6972,-15308,-4240,2496,-16824,-5560,1308,-16660,-3368,672,-16684,-2360,1012,-16800,-1864,2132,-16224,-3544,1924,-15836,-4172,1712,-18460,-3916,672,-15912,-3300,1208,-16132,-4420,1048,-20316,-4932,3804,-17068,364,1516,-14188,672,-788,-18416,2208,-676,-16156,940,-3184,-15732,700,-856,-15984,960,3256,-15944,60,4432,-16060,-2512,normal
5572,-15388,-4160,6972,-15308,-4240,2496,-16824,-5560,1308,-16660,-3368,672,-16684,-2360,1012,-16800,-1864,2132,-16224,-3544,1924,-15836,-4172,1712,-18460,-3916,672,-15912,-3300,1208,-16132,-4420,1048,-20316,-4932,3804,-17068,364,1516,-14188,672,-788,-18416,2208,-676,-16156,940,-3184,-15732,700,-856,-15984,960,3256,-15944,60,4432,-16060,-2512,1912,-18012,-2668,1876,-16068,-564,2192,-16332,-1856,1124,-18144,-1232,1628,-15928,-1112,normal
1012,-16800,-1864,2132,-16224,-3544,1924,-15836,-4172,1712,-18460,-3916,672,-15912,-3300,1208,-16132,-4420,1048,-20316,-4932,3804,-17068,364,1516,-14188,672,-788,-18416,2208,-676,-16156,940,-3184,-15732,700,-856,-15984,960,3256,-15944,60,4432,-16060,-2512,1912,-18012,-2668,1876,-16068,-564,2192,-16332,-1856,1124,-18144,-1232,1628,-15928,-1112,620,-16952,-608,2396,-17604,-2324,3044,-16512,-3024,2540,-16684,-1024,4236,-15400,-900,normal
1208,-16132,-4420,1048,-20316,-4932,3804,-17068,364,1516,-14188,672,-788,-18416,2208,-676,-16156,940,-3184,-15732,700,-856,-15984,960,3256,-15944,60,4432,-16060,-2512,1912,-18012,-2668,1876,-16068,-564,2192,-16332,-1856,1124,-18144,-1232,1628,-15928,-1112,620,-16952,-608,2396,-17604,-2324,3044,-16512,-3024,2540,-16684,-1024,4236,-15400,-900,772,-15760,-2332,-1380,-17568,-3036,1840,-16832,-1140,1740,-15620,-872,2688,-17488,-2280,normal
-676,-16156,940,-3184,-15732,700,-856,-15984,960,3256,-15944,60,4432,-16060,-2512,1912,-18012,-2668,1876,-16068,-564,2192,-16332,-1856,1124,-18144,-1232,1628,-15928,-1112,620,-16952,-608,2396,-17604,-2324,3044,-16512,-3024,2540,-16684,-1024,4236,-15400,-900,772,-15760,-2332,-1380,-17568,-3036,1840,-16832,-1140,1740,-15620,-872,2688,-17488,-2280,2580,-16232,-2964,4060,-17264,-628,3900,-16960,-1216,-108,-18520,-4928,-24,-16244,-4580,normal
1912,-18012,-2668,1876,-16068,-564,2192,-16332,-1856,1124,-18144,-1232,1628,-15928,-1112,620,-16952,-608,2396,-17604,-2324,3044,-16512,-3024,2540,-16684,-1024,4236,-15400,-900,772,-15760,-2332,-1380,-17568,-3036,1840,-16832,-1140,1740,-15620,-872,2688,-17488,-2280,2580,-16232,-2964,4060,-17264,-628,3900,-16960,-1216,-108,-18520,-4928,-24,-16244,-4580,992,-16700,-4472,3532,-16104,-3736,3336,-16580,-2896,3208,-16200,-2248,2012,-16160,-2092,normal
620,-16952,-608,2396,-17604,-2324,3044,-16512,-3024,2540,-16684,-1024,4236,-15400,-900,772,-15760,-2332,-1380,-17568,-3036,1840,-16832,-1140,1740,-15620,-872,2688,-17488,-2280,2580,-16232,-2964,4060,-17264,-628,3900,-16960,-1216,-108,-18520,-4928,-24,-16244,-4580,992,-16700,-4472,3532,-16104,-3736,3336,-16580,-2896,3208,-16200,-2248,2012,-16160,-2092,-80,-16844,-2848,220,-16776,-3164,228,-16696,-3148,900,-16652,-3256,1228,-16600,-3076,normal
772,-15760,-2332,-1380,-17568,-3036,1840,-16832,-1140,1740,-15620,-872,2688,-17488,-2280,2580,-16232,-2964,4060,-17264,-628,3900,-16960,-1216,-108,-18520,-4928,-24,-16244,-4580,992,-16700,-4472,3532,-16104,-3736,3336,-16580,-2896,3208,-16200,-2248,2012,-16160,-2092,-80,-16844,-2848,220,-16776,-3164,228,-16696,-3148,900,-16652,-3256,1228,-16600,-3076,1384,-16632,-3348,836,-16500,-3464,1148,-16596,-3708,1964,-16912,-3816,1468,-16756,-4292,normal
2580,-16232,-2964,4060,-17264,-628,3900,-16960,-1216,-108,-18520,-4928,-24,-16244,-4580,992,-16700,-4472,3532,-16104,-3736,3336,-16580,-2896,3208,-16200,-2248,2012,-16160,-2092,-80,-16844,-2848,220,-16776,-3164,228,-16696,-3148,900,-16652,-3256,1228,-16600,-3076,1384,-16632,-3348,836,-16500,-3464,1148,-16596,-3708,1964,-16912,-3816,1468,-16756,-4292,1600,-16696,-3788,1008,-16680,-3056,1328,-16592,-2416,964,-16724,-2356,1220,-17144,-2632,normal
992,-16700,-4472,3532,-16104,-3736,3336,-16580,-2896,3208,-16200,-2248,2012,-16160,-2092,-80,-16844,-2848,220,-16776,-3164,228,-16696,-3148,900,-16652,-3256,1228,-16600,-3076,1384,-16632,-3348,836,-16500,-3464,1148,-16596,-3708,1964,-16912,-3816,1468,-16756,-4292,1600,-16696,-3788,1008,-16680,-3056,1328,-16592,-2416,964,-16724,-2356,1220,-17144,-2632,1280,-16512,-2812,944,-16796,-2988,976,-16788,-3012,864,-16744,-3016,1124,-16748,-3280,normal
