timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:31:04.242331,1280,-16200,-2608,-352,226,100
2025-06-19T09:31:04.568725,1256,-16704,-2728,-309,-1353,-342
2025-06-19T09:31:04.847339,1176,-16648,-2704,-430,286,-98
2025-06-19T09:31:05.452129,1328,-16588,-2524,-358,-26,-246
2025-06-19T09:31:05.769024,-1856,-16248,-2912,696,8789,1451
2025-06-19T09:31:06.076611,-360,-17784,-2780,-3139,3539,-1022
2025-06-19T09:31:06.382749,968,-18052,-1876,1321,13913,-653
2025-06-19T09:31:06.654843,2756,-21764,-6356,1338,-4643,-190
2025-06-19T09:31:07.202837,152,-13988,-2392,1698,-1971,-3345
2025-06-19T09:31:07.612065,2164,-16760,-5140,1023,744,1012
2025-06-19T09:31:07.920890,2260,-15384,-2488,1526,-2331,2106
2025-06-19T09:31:08.226803,-484,-16652,364,-2537,17383,-5995
2025-06-19T09:31:08.535312,5836,-18512,-1788,-2953,-1391,-4164
2025-06-19T09:31:09.138989,6028,-15524,-2304,-5353,1869,-129
2025-06-19T09:31:09.659510,3048,-15320,-1888,1554,-1449,-706
2025-06-19T09:31:10.275300,6324,-18412,-2940,-2452,2058,1546
2025-06-19T09:31:10.715408,2728,-17368,-1508,-3134,-5129,-341
2025-06-19T09:31:11.013619,4032,-14768,-3552,5981,-6794,5174
2025-06-19T09:31:11.328110,448,-18212,-248,-4745,-2538,-1376
2025-06-19T09:31:11.613313,2040,-16732,432,-1540,-1131,-5876
2025-06-19T09:31:11.911901,2964,-16852,-1160,4272,-8974,-612
2025-06-19T09:31:12.322138,7344,-15336,-60,2432,-10612,-1840
2025-06-19T09:31:12.826910,7540,-15880,-3304,-3948,1733,2810
2025-06-19T09:31:13.440632,5412,-17628,-4284,8603,-3756,-311
2025-06-19T09:31:13.859230,5724,-15228,640,-5637,4226,592
2025-06-19T09:31:14.094490,4932,-16908,-3112,-4712,1153,-1001
2025-06-19T09:31:14.325182,3048,-16412,-4084,319,-6972,962
2025-06-19T09:31:14.591425,3128,-17552,-3284,4638,-10999,2368
2025-06-19T09:31:14.897979,-1704,-16916,-700,1195,6889,231
2025-06-19T09:31:15.198488,-1748,-14532,644,-273,7517,1168
2025-06-19T09:31:15.513103,1132,-16120,-2016,-3278,1250,-1148
2025-06-19T09:31:15.783802,3324,-16452,-2048,-2165,1897,-978
